Age,Height,Weight,IQ,Ability to fight,Weapons?,Vehicles?,Food amount,Survival %
33,1.92,109.81,124,1,2,1,301.74,75.01
46,1.77,115.42,132,3,1,0,134.56,64.45
34,1.7,69.5,118,2,0,2,266.06,74.55
22,1.59,56.16,109,3,2,3,85.13,92.27
44,1.57,116.01,90,0,1,0,229.74,59.77
41,1.95,114.08,118,2,2,1,138.72,67.92
65,1.94,78.05,101,3,1,1,255.97,46.71
19,1.69,73.34,122,0,0,0,289.23,83.96
64,1.5,99.41,106,0,2,3,45.71,42.22
27,1.65,95.79,151,1,2,1,74.58,79.5
75,1.61,56.13,94,3,0,2,5.93,34.08
72,1.57,55.81,118,2,1,1,363.48,36.42
79,1.91,69.7,126,2,2,3,291.76,36.78
19,1.69,111.19,90,1,1,2,64.14,85.86
72,1.94,83.33,138,1,2,0,356.51,35.19
31,1.67,70.22,100,0,2,3,212.69,79.67
78,1.9,58.17,130,0,1,3,194.36,30.18
76,1.98,117.26,152,1,1,2,192.8,30.57
52,1.66,79.46,94,0,0,2,70.99,50.95
28,1.71,102.35,84,1,2,2,71.33,78.95
52,1.58,97.51,119,3,2,3,31.35,60.84
19,1.99,53.11,142,1,1,1,114.19,85.76
52,1.73,79.68,120,0,2,2,283.15,56.78
67,1.93,73.21,136,1,0,1,240.65,37.6
52,1.63,75.08,84,1,1,0,343.52,53.15
18,1.96,55.07,117,2,2,2,348.62,94.65
77,1.69,95.99,104,3,1,3,104.0,35.77
56,1.66,107.05,102,3,2,2,244.48,59.26
53,1.51,88.21,136,0,0,3,39.53,50.05
33,1.97,63.79,118,1,1,2,355.71,75.74
44,1.98,110.31,134,2,1,1,210.0,63.4
24,1.96,71.72,106,1,1,0,97.49,80.33
35,1.65,92.47,88,2,0,3,179.8,74.79
62,1.53,118.09,91,0,1,3,210.58,46.62
53,1.95,94.35,112,3,2,1,158.34,60.06
51,1.7,108.83,93,3,1,3,224.23,64.98
50,1.62,74.09,96,0,1,0,362.35,54.21
38,1.65,55.55,157,1,0,0,139.71,65.47
27,1.94,59.98,122,0,1,2,116.75,77.56
33,1.59,73.86,93,2,1,0,239.78,73.8
78,1.99,54.74,119,3,1,2,154.87,34.07
48,1.54,112.82,143,3,0,2,73.35,61.98
36,1.84,89.54,143,3,0,3,152.87,77.08
31,1.67,86.94,89,2,0,3,214.23,79.71
53,1.87,118.94,111,2,2,1,291.99,56.95
25,1.86,75.71,158,3,2,1,121.07,87.81
34,1.67,55.41,124,3,1,0,141.52,76.47
60,1.64,69.73,112,3,1,1,286.6,51.91
38,1.75,73.35,87,1,0,3,53.65,66.43
51,1.82,117.45,154,3,2,0,17.85,61.06
63,1.54,91.01,82,0,1,1,363.34,42.42
48,1.79,85.44,128,0,1,1,97.75,55.65
54,1.65,85.88,120,2,1,3,29.48,52.79
20,1.68,68.78,146,0,1,1,108.29,83.72
61,1.71,108.3,121,0,2,3,99.34,46.65
36,1.74,117.41,86,1,0,3,264.87,74.06
53,1.93,89.23,152,2,0,3,320.12,60.54
18,1.74,99.55,93,3,1,1,313.8,94.09
67,1.93,89.79,151,2,1,0,191.7,39.64
68,1.8,109.21,95,3,0,0,205.85,41.69
77,1.86,117.98,135,0,1,3,285.13,33.6
42,1.75,104.34,115,2,1,3,19.19,64.51
20,1.74,67.42,132,0,0,0,179.53,82.6
57,1.99,52.62,132,3,2,0,239.19,55.8
79,1.61,105.51,128,3,1,1,32.55,31.22
63,1.7,80.09,103,2,1,2,293.4,46.91
34,1.76,108.44,140,1,1,0,324.69,71.08
79,1.59,115.82,138,0,2,1,153.14,27.02
18,1.87,89.54,159,1,0,0,118.07,85.39
25,1.99,110.76,82,3,1,0,114.99,85.38
52,1.86,65.52,156,1,1,2,272.11,55.63
45,1.66,108.37,84,2,2,0,319.92,64.07
30,1.56,83.31,99,2,1,3,27.85,76.74
56,1.83,85.81,110,0,0,3,45.32,47.21
65,1.65,106.99,130,2,1,1,3.11,41.02
51,1.86,62.26,127,0,0,2,260.37,54.47
73,1.87,90.67,100,2,0,3,58.71,33.57
36,1.91,106.33,109,2,0,3,153.89,73.1
29,1.6,61.77,111,3,1,3,81.46,83.17
34,1.76,53.79,147,1,1,0,196.48,70.66
63,1.87,62.86,139,0,0,3,29.97,39.8
69,1.55,74.95,96,3,2,1,185.08,44.23
45,1.67,68.07,158,1,1,0,85.46,59.29
50,1.73,88.89,85,3,0,0,272.62,59.91
66,1.82,101.34,152,3,2,0,15.39,46.05
38,2.0,102.14,148,1,2,2,111.67,69.49
71,1.8,50.81,109,3,1,0,300.39,40.0
66,1.81,96.42,127,3,2,3,197.23,51.26
79,1.54,69.53,85,2,0,3,200.25,31.34
65,1.89,64.15,154,1,2,3,349.36,50.32
24,1.76,116.76,102,3,1,1,306.13,88.04
57,1.93,83.74,143,1,0,0,66.74,46.22
57,1.58,116.94,125,0,0,3,270.09,52.2
40,1.75,96.43,90,1,2,0,330.65,67.1
25,1.57,51.48,135,2,0,3,359.15,89.58
20,1.99,97.43,101,0,0,3,149.24,85.98
74,1.56,71.57,142,2,1,1,345.78,34.31
57,1.92,58.97,117,0,1,1,107.67,46.72
36,1.9,108.92,154,1,2,2,328.64,74.38
79,1.81,55.32,115,1,0,0,172.93,24.58
30,1.77,97.46,94,1,0,1,183.58,74.22
38,1.66,98.36,124,1,2,0,200.35,68.67
63,1.81,77.7,157,3,0,0,329.47,47.1
38,1.89,116.34,142,1,2,1,147.36,68.98
39,1.52,107.86,124,1,2,2,254.44,70.39
58,1.59,76.35,93,1,2,2,346.54,52.62
36,1.81,61.0,119,2,1,3,226.98,76.05
48,1.79,110.09,135,1,1,2,122.53,57.63
72,1.61,111.3,127,3,0,3,316.12,45.43
48,1.52,94.26,81,1,0,2,94.9,56.27
57,1.85,91.21,83,3,1,0,15.04,53.05
22,1.7,70.05,99,3,2,0,190.62,90.64
29,1.76,97.1,104,0,0,2,202.37,75.7
57,1.75,72.52,96,3,2,1,118.51,55.79
42,1.79,100.56,119,2,2,1,294.55,67.96
37,1.62,66.64,113,3,0,0,237.67,72.79
72,1.56,95.47,96,0,0,2,325.81,34.34
28,1.64,118.33,118,3,2,1,217.73,85.45
53,1.95,109.62,122,0,2,2,6.62,52.09
37,1.59,119.39,80,0,0,1,236.17,66.57
65,1.63,105.24,133,1,0,2,118.35,39.58
23,1.7,117.09,157,0,2,2,207.21,84.76
29,1.92,115.03,102,3,1,1,94.65,81.63
34,1.61,67.35,152,0,1,1,277.93,70.85
59,1.73,84.63,133,3,1,3,48.19,52.29
39,1.6,115.88,151,3,1,0,189.67,71.63
42,1.68,90.55,137,2,2,3,256.27,72.83
37,1.58,94.75,82,3,0,3,191.49,77.11
33,1.79,119.33,104,2,1,2,292.4,76.9
76,1.99,50.66,147,0,1,3,331.06,35.83
78,1.87,114.83,154,2,2,1,298.93,31.99
41,1.71,82.8,99,2,1,3,157.1,69.19
45,1.71,102.96,84,0,1,2,164.83,60.2
50,1.62,67.6,148,0,2,1,177.91,56.19
46,1.54,106.8,100,0,2,1,14.8,59.1
78,1.64,78.2,86,0,2,3,218.83,32.84
53,1.56,102.84,135,3,0,0,130.99,56.44
52,1.63,106.46,89,1,1,3,305.49,60.15
63,1.69,51.46,153,3,0,2,345.28,50.6
60,1.54,95.14,91,3,2,1,210.16,53.4
46,1.53,107.72,104,2,2,0,277.44,62.92
18,1.71,106.1,91,0,0,2,81.63,85.09
72,1.87,62.69,128,3,1,0,91.24,38.3
76,1.98,93.19,156,0,0,2,330.07,30.4
55,1.8,67.25,110,1,2,2,65.25,51.87
71,1.88,66.9,94,0,1,0,290.61,32.97
38,1.83,106.71,82,2,0,0,279.95,67.93
21,1.72,90.14,118,2,2,1,334.7,89.23
48,1.86,67.9,139,3,0,3,359.74,70.59
75,1.99,68.25,147,3,2,2,335.06,41.47
67,1.63,80.02,102,2,2,3,238.55,47.36
40,1.79,68.1,142,1,2,2,212.25,68.83
70,1.54,103.87,86,3,1,1,59.35,40.4
43,1.81,78.39,108,0,1,0,308.11,61.03
49,1.97,113.74,153,1,1,0,206.55,55.69
77,1.72,65.75,96,3,2,0,245.28,35.82
43,1.74,92.96,83,2,1,0,231.04,63.77
64,1.53,69.4,107,0,1,2,78.85,40.05
26,1.99,59.6,147,2,0,0,50.88,79.17
79,1.71,110.0,120,3,0,1,28.4,30.19
62,1.8,98.94,116,2,2,0,285.1,46.95
30,1.87,103.26,114,3,2,0,84.23,82.28
22,1.87,69.84,151,0,1,0,347.09,82.16
70,1.82,98.11,91,0,1,1,324.63,35.16
20,1.88,90.45,149,2,1,0,322.58,87.08
61,1.95,80.7,96,3,0,3,62.9,49.68
43,1.79,82.9,94,3,0,3,305.6,74.15
25,1.97,105.41,87,0,1,0,17.51,78.06
50,1.82,111.11,108,3,2,1,318.81,64.13
32,1.8,77.36,145,0,0,1,70.88,70.47
76,1.78,76.85,136,2,0,1,197.81,30.32
77,1.53,80.12,129,2,0,2,216.1,30.88
27,1.59,118.52,128,0,0,3,69.23,76.85
78,1.53,71.49,133,0,0,2,102.42,25.37
41,1.84,60.1,96,1,2,0,32.82,65.11
51,1.56,108.86,91,2,1,2,151.44,57.02
74,1.71,119.76,104,1,1,0,97.73,30.33
65,1.75,62.45,120,0,1,3,193.38,43.16
24,1.59,57.28,133,2,2,2,341.27,88.55
77,1.82,102.33,144,2,1,3,168.36,33.49
56,1.92,105.26,150,2,2,3,214.56,57.72
63,1.88,89.96,126,3,2,1,250.12,50.67
51,1.87,69.82,81,1,2,0,250.97,55.84
18,1.99,100.06,92,1,0,1,231.93,86.55
41,1.71,85.74,156,1,0,2,234.5,65.13
44,1.66,118.04,89,0,0,1,345.82,60.31
55,1.75,99.75,158,0,0,1,49.35,47.33
38,1.79,64.35,141,3,1,0,326.07,73.09
51,1.55,93.59,131,2,0,2,306.46,58.09
34,1.97,57.74,83,3,0,2,60.2,75.8
31,1.59,70.75,84,3,0,3,191.09,83.1
51,1.87,92.0,102,3,1,2,274.42,62.66
54,1.54,109.7,124,2,2,1,339.44,56.26
75,1.69,74.7,87,1,1,0,54.72,29.18
18,1.77,95.07,150,2,1,1,77.21,88.52
54,1.67,94.43,137,0,2,1,326.67,53.18
18,1.8,108.13,141,0,2,0,70.74,87.24
65,1.73,84.71,116,3,0,1,166.73,45.11
53,1.65,89.56,125,3,0,0,105.11,56.35
73,1.83,110.66,93,0,1,3,230.73,36.15
64,1.64,115.54,115,2,1,0,347.59,43.16
75,1.67,103.44,136,1,0,2,235.72,31.14
34,1.51,85.66,152,3,1,1,20.91,76.14
76,1.94,115.81,104,2,0,3,106.18,31.83
21,1.94,119.22,81,1,2,0,248.6,85.83
48,1.6,67.18,111,3,0,1,92.64,61.62
31,1.98,89.47,114,2,2,0,252.39,77.84
22,1.92,93.93,106,0,2,2,248.74,86.32
26,1.81,100.51,135,1,0,1,318.94,79.13
25,1.93,71.74,113,1,0,2,236.48,81.15
22,1.97,116.45,111,0,0,2,3.15,80.04
46,1.62,87.16,156,2,1,0,111.93,60.37
41,1.68,65.32,111,2,0,0,357.89,65.19
19,1.5,64.58,115,2,0,2,223.75,88.98
34,1.95,118.28,135,2,0,3,285.82,78.62
48,1.6,86.87,81,1,2,2,101.43,59.35
19,1.72,80.65,117,2,1,0,124.91,87.42
53,1.7,107.84,109,0,0,2,37.02,49.49
38,1.58,69.32,123,1,1,2,211.49,68.82
51,1.76,109.01,129,0,0,0,68.35,51.23
35,1.83,99.31,111,0,0,2,125.57,68.67
47,1.61,70.02,159,3,1,2,331.29,67.42
24,1.57,59.72,98,2,0,0,261.61,81.87
57,1.52,55.19,136,0,1,2,115.76,47.54
30,1.66,66.21,129,1,1,0,197.2,74.66
20,1.78,99.87,144,0,0,3,110.46,84.95
26,1.54,98.22,90,2,0,2,230.49,82.07
48,1.65,82.73,154,3,2,0,275.75,64.92
36,1.69,76.12,80,3,1,2,0.23,74.0
28,1.58,78.92,83,3,2,0,38.11,84.13
37,1.98,88.17,132,2,2,2,209.94,73.8
65,1.52,91.07,141,1,1,1,120.53,39.8
44,1.65,84.66,159,2,0,2,117.87,62.57
74,1.58,99.19,111,3,2,2,155.66,40.08
50,1.65,119.9,155,0,2,2,226.66,58.02
72,1.63,90.6,125,2,2,3,168.46,40.49
19,1.57,115.87,153,3,2,2,302.92,97.04
51,1.82,68.92,81,0,0,3,169.06,55.51
44,1.85,57.38,86,3,2,2,326.22,72.35
36,1.77,68.35,105,3,1,1,36.7,74.25
48,1.79,109.01,110,0,2,0,278.02,57.93
25,1.8,109.68,137,3,1,1,227.97,86.52
58,1.79,112.63,104,1,2,0,248.93,48.83
63,1.57,100.52,84,1,0,0,91.7,40.31
75,1.95,90.62,159,1,0,2,24.81,28.33
31,1.97,101.08,109,3,0,1,162.62,79.08
57,1.68,101.63,148,2,2,2,104.03,52.39
62,1.76,104.18,103,2,2,1,231.2,47.54
36,1.76,76.92,96,2,1,3,100.51,72.68
74,1.92,105.59,131,2,1,1,135.36,32.9
58,1.77,65.79,107,2,1,1,333.98,50.23
37,1.91,93.66,134,3,2,0,311.14,76.04
70,1.75,115.91,139,3,0,1,294.95,40.97
73,1.7,90.18,140,2,2,1,319.78,37.13
50,1.68,113.0,85,2,2,1,164.61,59.1
63,1.75,72.93,92,0,1,0,273.12,40.91
47,1.86,66.06,113,0,2,0,92.83,58.31
62,1.8,60.68,144,2,1,2,244.46,47.26
40,1.93,52.33,97,1,2,3,69.13,67.84
38,1.56,52.71,98,2,2,2,127.85,71.71
61,1.58,79.19,131,3,2,0,168.88,51.56
40,1.99,50.47,137,0,1,1,92.91,63.62
37,1.97,116.56,120,1,1,1,174.93,68.17
36,1.79,115.29,112,3,0,2,109.58,74.46
58,1.64,72.45,131,1,2,0,84.69,48.28
79,1.74,119.72,148,1,1,2,59.33,25.79
24,1.64,101.55,88,0,1,0,122.34,79.41
65,1.59,98.85,103,3,1,1,351.29,47.34
18,1.8,54.77,119,2,2,2,63.37,90.85
72,1.73,67.58,133,3,2,3,96.0,42.56
59,1.64,80.42,112,3,2,3,349.58,62.32
19,2.0,93.55,111,2,1,0,247.59,87.83
19,1.82,93.56,134,0,0,2,328.68,87.38
75,1.85,59.86,86,2,2,3,348.3,42.29
48,1.6,67.04,124,2,2,0,23.4,60.08
72,1.54,81.46,92,3,1,0,298.72,39.0
26,1.61,100.12,126,0,1,1,238.49,78.59
79,1.97,98.73,133,1,2,1,237.2,28.58
34,1.7,53.16,88,3,0,3,79.1,77.11
26,1.51,106.57,113,2,0,1,351.43,81.34
66,1.86,82.39,133,3,0,2,23.27,43.31
72,1.72,85.89,120,3,2,2,93.39,41.25
23,1.9,60.32,139,2,2,2,280.93,88.75
54,1.93,55.72,134,3,0,1,316.48,57.11
28,1.64,116.06,134,3,0,3,355.96,90.49
58,1.99,118.08,89,1,1,2,18.9,46.25
42,1.72,96.95,123,1,0,2,236.31,64.15
25,1.74,61.58,134,2,0,3,125.56,83.35
63,1.51,61.24,91,0,2,0,143.59,42.48
18,1.86,74.79,134,1,0,1,183.7,86.23
33,1.62,111.97,95,0,2,1,252.7,73.68
18,1.79,74.78,140,1,2,0,356.25,89.19
62,1.81,57.69,107,3,1,0,34.16,48.11
74,1.98,83.43,120,2,1,2,18.08,32.24
24,1.72,59.74,96,0,1,0,42.11,79.14
18,1.84,93.67,82,2,1,3,296.88,95.92
47,1.97,64.6,132,3,1,3,296.62,70.91
73,1.92,101.16,148,2,2,0,175.61,35.59
35,1.8,116.24,121,0,1,0,299.43,69.0
41,1.59,76.89,98,3,1,0,7.7,69.03
78,1.5,93.03,156,2,0,2,50.65,27.68
37,1.84,105.71,88,0,0,2,341.51,69.55
75,1.78,70.53,145,3,0,3,197.64,39.27
30,1.92,104.79,139,3,1,2,260.7,83.48
50,1.92,76.81,121,2,0,3,317.11,63.46
46,1.84,60.28,110,2,0,3,34.72,59.93
55,1.75,73.83,125,1,2,1,71.67,51.48
60,1.87,72.59,123,1,2,1,315.34,48.1
30,1.58,58.0,113,0,1,1,55.8,73.37
22,1.76,102.84,131,3,2,3,223.86,95.97
21,1.68,62.74,100,3,2,2,127.83,92.7
56,1.73,104.18,159,3,2,3,268.07,63.15
59,1.97,96.78,102,2,1,2,240.37,50.21
70,1.97,53.93,128,0,1,2,228.72,36.05
45,1.87,105.07,154,2,0,0,86.3,60.29
39,1.51,107.5,120,2,0,0,288.8,66.96
46,1.58,91.57,104,3,0,0,224.13,63.75
77,1.84,90.89,112,1,2,0,121.41,29.4
35,1.88,104.47,127,1,0,3,253.68,74.77
54,1.99,85.39,104,2,1,3,185.08,56.94
50,1.77,97.13,112,1,0,0,276.96,53.92
61,1.94,84.83,98,1,0,1,241.98,43.61
74,1.95,78.93,102,0,0,0,321.31,29.07
34,1.88,105.49,159,3,2,0,241.74,78.81
62,1.9,79.2,137,0,0,3,286.7,47.65
69,1.8,78.13,127,3,2,3,155.13,47.14
77,1.62,107.98,139,0,0,1,202.16,26.35
47,1.67,84.09,148,3,0,1,1.93,62.01
76,1.88,92.54,125,0,1,2,204.41,29.73
70,1.62,76.15,114,0,0,2,120.28,33.6
43,1.52,84.96,134,3,2,1,292.15,70.95
66,1.98,76.72,129,2,1,0,209.21,40.7
46,1.52,79.62,128,1,1,0,133.64,58.45
74,1.77,106.1,137,3,0,0,55.75,35.19
53,1.85,62.95,152,0,0,2,149.72,51.0
65,1.79,76.88,144,3,0,0,97.29,44.32
70,1.85,114.32,125,1,1,0,116.9,34.39
43,1.67,102.69,101,1,0,0,169.11,60.56
54,1.69,105.17,155,0,2,1,139.34,51.93
66,1.78,54.78,99,2,1,2,230.26,43.07
55,1.61,55.42,120,3,2,0,215.4,57.72
36,1.78,75.88,101,2,1,2,314.17,74.19
59,1.59,106.16,113,1,2,2,20.96,47.28
23,1.62,93.95,147,1,2,3,318.0,91.48
77,1.57,70.77,146,3,2,0,327.36,36.09
46,2.0,118.26,109,0,0,2,127.51,57.7
53,1.88,65.63,123,1,2,0,92.74,53.31
55,1.75,103.95,115,2,1,1,318.43,53.12
72,1.54,64.58,157,0,2,1,49.14,33.33
38,1.88,101.25,91,3,0,2,88.55,72.18
43,1.87,103.75,151,3,1,1,215.3,68.44
31,1.6,119.31,148,0,2,1,75.55,74.5
73,1.69,61.25,125,2,2,1,146.34,35.98
74,1.77,96.66,125,0,2,1,203.34,32.36
18,1.81,57.54,111,0,1,3,288.3,92.69
58,1.86,117.98,121,2,0,0,128.43,47.43
55,1.82,71.28,128,0,1,1,10.07,48.07
68,1.69,116.46,86,2,0,2,364.42,41.86
43,1.74,59.96,134,0,0,2,232.78,62.1
35,1.68,92.34,148,0,2,1,160.67,71.07
22,1.73,93.73,151,3,2,2,257.84,93.44
57,1.91,88.55,112,0,1,1,50.34,46.34
56,1.89,98.93,152,1,2,3,46.23,51.23
39,1.68,66.06,86,2,2,1,204.88,70.37
65,1.63,112.15,124,3,2,3,316.29,55.43
40,1.97,113.42,150,3,1,0,14.08,70.05
68,1.59,119.49,125,3,0,1,133.92,41.89
70,1.78,92.61,122,3,2,3,53.66,43.43
61,1.66,84.92,113,1,1,3,249.33,49.65
71,1.94,52.73,125,0,2,1,44.7,34.3
65,1.83,76.05,134,3,0,2,54.49,44.73
59,1.7,66.57,158,1,2,2,86.15,48.15
43,1.66,71.16,148,0,2,0,268.0,62.89
66,1.73,74.31,129,3,0,0,228.75,43.76
46,1.87,73.5,84,0,1,0,151.37,57.5
19,1.7,66.47,157,3,2,0,338.9,94.13
41,1.99,119.45,124,0,2,2,93.16,65.24
61,1.54,113.4,133,1,2,2,172.5,47.3
48,1.82,109.03,86,2,1,2,320.7,62.28
51,1.93,89.96,117,0,2,3,172.84,58.61
38,1.79,62.49,130,0,1,3,335.9,73.96
21,1.9,71.76,130,0,0,0,41.32,81.14
47,1.97,55.07,137,2,2,0,362.38,62.21
28,1.77,78.84,98,2,1,2,249.75,81.33
49,1.57,115.63,129,2,1,0,293.03,57.98
36,1.88,59.55,86,3,2,2,25.07,76.33
52,1.98,114.32,83,3,2,3,282.45,67.53
38,1.63,110.6,137,2,2,2,197.86,72.64
79,1.6,67.48,159,0,0,1,308.3,25.06
32,1.97,106.84,144,2,0,1,85.93,73.57
18,1.91,62.46,112,2,0,3,196.1,92.23
63,1.53,103.64,139,1,2,0,97.94,43.33
33,1.77,58.69,140,1,1,1,254.86,72.7
39,1.91,99.22,140,2,1,2,230.85,70.08
49,1.91,103.44,145,3,0,2,52.16,60.7
44,1.94,92.86,115,3,1,3,343.18,75.15
65,1.72,60.47,85,1,2,3,360.54,50.61
21,1.93,64.49,107,1,1,2,288.24,86.84
41,1.71,74.72,149,2,0,0,123.16,64.41
58,1.57,56.84,118,3,1,1,97.93,52.65
48,1.67,68.42,145,2,2,0,179.01,60.6
69,1.83,106.62,85,2,2,3,239.01,45.37
41,1.79,92.68,127,0,2,1,37.87,64.25
69,1.52,56.99,120,1,2,0,291.56,37.97
73,1.75,60.93,98,3,1,3,342.17,46.12
40,1.55,97.07,82,0,1,3,99.69,65.66
29,1.58,109.64,133,2,0,0,0.83,76.0
77,1.85,104.17,129,2,0,0,64.53,28.22
45,1.81,117.02,146,3,0,3,269.64,71.19
36,1.7,106.23,149,0,0,3,314.75,74.39
61,1.67,116.01,147,0,0,3,82.41,43.2
48,1.85,63.68,155,2,2,0,231.92,60.77
48,1.55,83.45,80,1,1,2,111.44,57.49
28,1.89,98.04,114,0,1,3,241.14,81.43
44,1.82,119.03,148,1,2,0,248.59,62.83
58,1.69,92.61,93,3,1,0,286.03,52.95
20,1.63,55.25,130,2,1,2,82.68,87.1
20,1.7,64.31,155,1,0,1,54.52,83.36
38,1.88,98.03,141,2,2,1,219.29,71.46
30,1.55,94.14,141,0,0,1,139.99,72.93
45,1.69,53.05,152,2,1,1,216.99,62.45
39,1.86,57.29,139,2,1,3,145.17,70.87
30,1.55,81.14,118,1,2,1,106.82,76.71
51,1.69,103.63,158,2,0,1,84.89,54.57
35,1.71,72.59,134,1,2,1,68.73,71.46
58,1.84,75.8,144,1,0,3,143.09,48.82
61,1.51,55.98,88,1,1,3,83.48,45.23
77,1.68,74.65,138,2,1,0,263.45,29.88
59,1.85,98.99,123,0,1,2,258.9,47.45
66,1.65,104.15,100,2,1,2,24.25,40.32
36,1.58,62.05,82,3,1,2,160.19,76.14
28,1.91,62.32,90,0,1,2,313.47,79.18
29,1.71,64.73,111,3,2,3,230.72,89.15
70,1.62,63.8,140,1,1,0,190.22,34.63
49,1.97,63.76,86,1,2,0,314.61,58.05
79,1.55,111.29,128,1,2,1,286.71,28.91
21,1.93,69.86,142,2,0,2,76.81,85.02
60,1.94,56.18,132,3,0,1,115.78,49.77
25,1.92,53.43,145,3,0,2,190.18,86.54
19,1.61,73.07,86,0,1,0,1.26,84.0
21,1.5,94.45,120,3,0,1,149.51,89.0
44,1.79,50.48,158,3,1,1,93.14,66.62
29,1.9,105.89,84,1,2,1,45.41,77.3
35,1.57,74.54,143,0,2,3,106.27,72.83
22,1.66,62.42,88,2,2,0,278.99,86.93
33,1.97,65.34,98,1,1,3,0.44,71.01
21,1.76,62.48,132,0,2,2,278.51,87.71
20,1.81,74.77,104,3,0,1,220.91,90.47
40,1.89,100.32,121,0,0,2,339.15,66.52
46,1.67,51.31,86,1,0,2,322.17,61.3
42,1.72,90.78,93,3,0,3,28.38,67.76
25,1.7,57.17,133,0,0,2,88.68,78.18
36,1.81,52.68,152,1,1,2,232.73,71.1
21,1.84,84.88,90,0,2,2,248.57,87.31
35,1.54,87.7,129,0,1,0,24.33,68.08
30,1.89,93.49,120,0,1,2,248.36,76.31
